uid,SampleSource,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Region,a1,a2,a3,a3_os,a4,our cat,a5,a6,a7,a7_os,a8,a9,total,less than 2,02-May,05-Oct,Oct-15,15-20,20-50,50+,b1,b2,b3,b3_1,b4,b4_os,b5,b5_1,b5_2,b6,b6_1,b7,b8,b9,b10,b10_1,b10_2,b11,c1,c2,c2_os,c3,c4,c4a,c4b,c4b_os,gender,f1,f2,household challenges,f3_os,household_activities,f4_os,f4a,f4b,f4c,f4d,f4e,f4f,f4g,f4x,f4z,use of digital payments,g1_os,g1check,g2,g3,g4,g4_os,g5,g5_os,SampleSource,Gender,TypeofIndustry,TypeofBusiness,ConsolidatedBusinessType,VINTAGE_OF_BUSINESSinyears,City,State,Wave,selected_business,,ConsolidatedBusinessType
3025,AYE Finance,Manufacturing,FOOTWEAR-MANF,Footwear Manufacturing,20,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,No,Fully Shut,,,10,0,10,,,,Y,,,,Worse than expected,,,,Enough to survive 2 months,,Yes,Yes,2,No,,Partial payment,Partial payment,"Yes, but with delay",No,,,No Loan,Somewhat confident,1 2,,0-3 months,Yes,500000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3027,AYE Finance,Manufacturing,CLOTH EMBROIDERY & PRINT-MANF,Textiles,15,New Delhi,Delhi,North India,No,Male,Village enterprise,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Enough to survive 2 months,,No,,,Yes,5000,Partial payment,Partial payment,No,No,,,No,Somewhat confident,1 2,,4-6 months,Yes,50000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3028,AYE Finance,Manufacturing,FOOTWEAR-MANF,Footwear Manufacturing,30,New Delhi,Delhi,North India,No,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,0,10,10,,,,Y,,,,Worse than expected,,,,Enough to survive 2 months,,No,,,Yes,10000,No,No,No,No,,,No,Somewhat confident,2 6,,0-3 months,Yes,rashaan,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3029,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,25,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,1,0,1,Y,,,,,,,Worse than expected,,,,Enough to survive 1 month,,No,,,Yes,5000,Partial payment,Partial payment,Only partially,No,,,No,Fully confident,2 4,,0-3 months,Yes,5000000,,,Male,No,100,0,,1 2,,1,2,,,,,,,,3 4,,,2-3 years,Remained the same,1 3 4,,5,,,,,,,,,,,,,
3031,AYE Finance,Manufacturing,Auto Parts,Auto Parts and Metal Works,20,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,No,Fully Shut,,,0,1,1,Y,,,,,,,Worse than expected,,,,Enough to survive 1 month,,No,,,Yes,5000,Partial payment,No,No,No,,,No,Not confident,1 2,,4-6 months,Yes,100000,,,Male,Yes,,0,,1 2,,2,1,,,,,,,,3,,,1-2 years,Decreased,1 4,,2 4,,,,,,,,,,,,,
3034,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,7,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,20,0,20,,,,,,Y,,Worse than expected,,,,Enough to survive 2 months,,Yes,Yes,2,No,,Yes full payment,Partial payment,Only partially,No,,,Yes,Somewhat confident,1 2,,> 6 months,Yes,50000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3035,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,Yes,Fully Shut,,,7,0,7,,,Y,,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,2,No,,Yes full payment,Partial payment,"Yes, but with delay",No,,,No,Somewhat confident,1 4 6,,4-6 months,Yes,1 lakh,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3037,AYE Finance,Manufacturing,Auto Parts,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,2,Yes,50000,Yes full payment,Partial payment,No customers due to lockdown,No,,,No,Somewhat confident,1 2,,4-6 months,Do not know any,,,,Male,Yes,,0,,1 2,,2,1,,,,,,,,3,,,3-6 months,Remained the same,1 3,,3 4,,,,,,,,,,,,,
3039,AYE Finance,Manufacturing,MACHINERY WORK-MANF,Machinery Work,21,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,4,Yes,20000,Yes full payment,Yes full payment,"Yes, but with delay",No,,,No,Somewhat confident,1 2 6,,> 6 months,Yes,100000,,,Male,Yes,,0,,1 -888,banzar jamin me perd poudhe lagye hai,2,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,
3041,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,No,,No,,No,No,Only partially,No,,,No,Not confident,1 2 3,,> 6 months,Yes,rashan,,,Male,Yes,,2 3 4,,1 2,,2,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3044,AYE Finance,Manufacturing,Handicraft,Handicraft,40,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,2 4,Yes,30000,No,No,No customers due to lockdown,No,,,Yes,Somewhat confident,2 4,,0-3 months,Yes,100000,,,Male,No,50,1 3 4,,1 4,,1,,,2,,,,,,3,,,1-2 years,Remained the same,1 4,,1 4,,,,,,,,,,,,,
3047,AYE Finance,Manufacturing,Handicraft,Handicraft,30,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 1 month,,Yes,Yes,2 3,No,,No,No,Only partially,"No, but not able to pay them",,,Yes,Somewhat confident,1 2 4,,4-6 months,Yes,annaj,,,Male,Yes,,0,,1 2,,2,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3052,AYE Finance,Manufacturing,SPORTS GOODS-MANF,Paper & Plastic Products,20,New Delhi,Delhi,North India,No,Male,Village enterprise,,Essential,Non Essential,No,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,4,Yes,20000,Yes full payment,Yes full payment,"Yes, but with delay",No,,,No,Somewhat confident,2 4,,0-3 months,Yes,100000,,,Male,No,70,2 3 4,,1 2,,1,2,,,,,,,,3,,,2-3 years,Remained the same,1 4,,1 3 4,,,,,,,,,,,,,
3058,AYE Finance,Manufacturing,MACHINERY WORK-MANF,Machinery Work,25,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Partly Operational,8,,0,0,0,Y,,,,,,,Worse than expected,25,Decreased,70,Enough to survive 1 month,,Yes,Yes,2 4,Yes,15000,No,No,No,No,,,Yes,Fully confident,2 6,,0-3 months,Yes,beta nhi sakte,,,Male,Yes,,2 3 4,,1 2,,2,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3060,AYE Finance,Manufacturing,Wood Products,Wood Products,20,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Worse than expected,,,,Enough to survive 1 month,,No,,,Yes,15000,Yes full payment,Yes full payment,"Yes, but with delay",No,,,No,Somewhat confident,0,,0-3 months,No,,Did not find beneficial enough,,Male,Yes,,0,,1 2,,1,2,,,,,,,,3,,,3-6 months,Decreased,1 4,,4,,,,,,,,,,,,,
3061,AYE Finance,Manufacturing,FOOTWEAR-MANF,Footwear Manufacturing,30,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,3,No,,No,No,No,No,,,No,Somewhat confident,2 4,,0-3 months,Do not know any,,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,3,,,2-3 years,Remained the same,1 4,,1 4,,,,,,,,,,,,,
3064,AYE Finance,Manufacturing,Auto Parts,Auto Parts and Metal Works,20,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Worse than expected,,,,Enough to survive 2 months,,Yes,Yes,2,No,,No supplier payments pending,No supplier payments pending,Only partially,No,,,No,Somewhat confident,1 2,,4-6 months,Yes,100000,,,Male,Yes,,2 3 4,,1 2 4,,1,3,,2,,,,,,7,,,,,,,,,,,,,,,,,,,,
3065,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,2,0,2,,Y,,,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,4,Yes,5000,Yes full payment,Partial payment,No customers due to lockdown,No,,,Yes,Not confident,1 2,,4-6 months,No,,Others,Applications get rejected,Male,Yes,,2 3 4,,1 2,,2,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3066,AYE Finance,Manufacturing,CLOTH EMBROIDERY & PRINT-MANF,Textiles,9,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,2,No,,No,No,No customers due to lockdown,No,,,No,Somewhat confident,1 2 6,,4-6 months,Yes,50000,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3071,AYE Finance,Manufacturing,Electrical and Electronic Units,Electricals and Electronics,13,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,Yes,Fully Shut,,,5,0,5,,,Y,,,,,Worse than expected,,,,Enough to survive 2 months,,Yes,Yes,2,No,,Yes full payment,Partial payment,"Yes, but with delay",No,,,No,Somewhat confident,1 2 4,,4-6 months,Yes,100000,,,Male,Yes,,2 3 4,,1 2,,1,2,,,,,,,,3,,,1-2 years,Remained the same,1 4,,1 3,,,,,,,,,,,,,
3074,AYE Finance,Manufacturing,MACHINERY WORK-MANF,Machinery Work,20,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,2,No,,Partial payment,Partial payment,Only partially,No,,,No,Not confident,1 2 4,,0-3 months,Yes,50000,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,3,,,1-2 years,Decreased,1 4,,1 4,,,,,,,,,,,,,
3076,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,4,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 1 month,,Yes,Yes,2,No,,No,No,No,No,,,Yes,Not confident,1 2 5 6,,4-6 months,Yes,10 lakh,,,Male,No,100,0,,1 2,,1,2,,,,,,,,3 4,,,2-3 years,Decreased,1 4,,1 4,,,,,,,,,,,,,
3079,AYE Finance,Manufacturing,Electrical and Electronic Units,Electricals and Electronics,20,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,2,0,2,,Y,,,,,,Worse than expected,,,,Enough to survive 1 month,,Yes,Yes,3,Yes,15000,Partial payment,Partial payment,No customers due to lockdown,No,,,Yes,Not confident,1 2 4,,4-6 months,Yes,50000,,,Male,Yes,,0,,1 2,,1,2,,,,,,,,3 4,,,2-3 years,Decreased,1 4,,1 4,,,,,,,,,,,,,
3083,AYE Finance,Manufacturing,FOOTWEAR-MANF,Footwear Manufacturing,20,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,No,Fully Shut,,,5,0,5,,,Y,,,,,Better than expected,,,,Enough to survive 1 month,,Yes,Yes,4,Yes,15000,No,No,"Yes, but with delay",No,,,No,Not confident,2 4,,4-6 months,No,,Did not find beneficial enough,,Male,Yes,,0,,1 2,,1,2,,,,,,,,3 4,,,2-3 years,Decreased,1 4,,1 4,,,,,,,,,,,,,
3084,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,Yes,Male,Home based business,,Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,3,Yes,5000,No supplier payments pending,No,No,No,,,No,Somewhat confident,1 2,,4-6 months,No,,Requirements not fulfilled,,Male,Yes,,0,,1 2,,1,2,,,,,,,,3 4,,,2-3 years,Decreased,1 4,,1 4,,,,,,,,,,,,,
3086,AYE Finance,Manufacturing,FOOTWEAR-MANF,Footwear Manufacturing,13,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Better than expected,,,,Enough to survive 2 months,,Yes,Yes,3,No,,Partial payment,Partial payment,No customers due to lockdown,No,,,No Loan,Not confident,1 2 6,,4-6 months,Yes,500000,,,Male,Yes,,1 2 3 4,,1 2,,1,2,,,,,,,,7,,,,,,,,,,,,,,,,,,,,
3088,AYE Finance,Manufacturing,OTHERS - MANF,Others,20,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,2,0,2,,Y,,,,,,Better than expected,,,,Enough to survive 1 month,,Yes,Yes,2,No,,Yes full payment,Partial payment,"Yes, but with delay",No,,,Yes,Somewhat confident,2 4 6,,4-6 months,No,,Did not find beneficial enough,,Male,Yes,,2 3 4,,1 2,,2,1,,,,,,,,3,,,2-3 years,Remained the same,1 4,,1 3 4,,,,,,,,,,,,,
3089,AYE Finance,Manufacturing,FOOTWEAR-MANF,Footwear Manufacturing,20,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 2 months,,No,,,Yes,20000,No,No,"Yes, but with delay",No,,,No,Not confident,2,,4-6 months,No,,Requirements not fulfilled,,Male,No,80,0,,1 2 4,,3,2,,1,,,,,,3,,,2-3 years,Remained the same,1 3 4,,2 4,,,,,,,,,,,,,
3411,AYE Finance,Manufacturing,FOOTWEAR-MANF,Footwear Manufacturing,25,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Non Essential,Non Essential,Yes,Fully Shut,,,20,0,20,,,,,,Y,,Worse than expected,,,,Don't have any cash reserves,,No,,,No,,Yes full payment,Yes full payment,No,No,,,No Loan,Somewhat confident,2,,4-6 months,Yes,Bank ko,,,Male,Yes,,2,,6 8,,,,,,,1,,,,4,,,1-2 years,Remained the same,-888,,5,,,,,,,,,,,,,
3421,AYE Finance,Manufacturing,Auto Parts,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,20000,No,No,No,No,,,Yes,Somewhat confident,2,,> 6 months,No,,Others,Have an existing loan,Male,Yes,,2,,4 6 8,,,,,2,,3,,,,4,,,3-6 months,Increased,4,,2,,,,,,,,,,,,,
3422,AYE Finance,Manufacturing,GLASSWORK-MANF,Others,9,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,6,0,6,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,30000,Partial payment,Partial payment,No,No,,,Yes,Fully confident,2,,4-6 months,Yes,. Government se,,,Male,No,40,1 2,,6 8,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
3426,AYE Finance,Manufacturing,OTHERS - MANF,Others,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,No,No,No,No,,,Yes,Somewhat confident,2,,0-3 months,No,,Did not find beneficial enough,,Male,Yes,,0,,6 8,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
3428,AYE Finance,Manufacturing,Wood Products,Wood Products,18,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,2,4,6,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,28000,No,No,No,No,,,Yes,Somewhat confident,2,,> 6 months,Yes,Government ko,,,Male,No,50,2 4,,8,,,,,,,,,,,3 4,,,2-3 years,Increased,4,,2 3,,,,,,,,,,,,,
3430,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,8,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,3,8,11,,,,Y,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,4,Yes,10000,Partial payment,Partial payment,No,No,,,Yes,Somewhat confident,2,,> 6 months,Yes,Government se,,,Male,Yes,,0,,6 8,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
3434,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,No,,No,No,No,No,,,No,Somewhat confident,2,,4-6 months,Yes,Government se,,,Male,Yes,,2,,6 8 -888,Mask Banaye,,,,,,1,,,2,7,,,,,,,,,,,,,,,,,,,,
3439,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,No,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,0,2,2,,Y,,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,20000,Yes full payment,No,No,No,,,No,Somewhat confident,2,,> 6 months,Yes,Government se,,,Male,Yes,,4,,1 6 8,,3,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
3440,AYE Finance,Manufacturing,FOOTWEAR-MANF,Footwear Manufacturing,20,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,4,4,8,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1,No,,Yes full payment,Partial payment,No,No,,,Yes,Somewhat confident,2,,> 6 months,Yes,Bank se,,,Male,Yes,,2,,2 6 8,,,2,,,,1,,,,4,,,1-2 years,Increased,4,,3 4,,,,,,,,,,,,,
3441,AYE Finance,Manufacturing,OTHERS - MANF,Others,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,4,2,6,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,Yes,22000,Yes full payment,Partial payment,No,No,,,No Loan,Somewhat confident,2,,4-6 months,Yes,government degi to le lenge,,,Male,Yes,,0,,1 6 8,,3,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
3442,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,3,2,5,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,30000,No,Partial payment,No,No,,,Yes,Somewhat confident,2,,4-6 months,Yes,Government Se,,,Male,No,30,2 4,,6 8,,,,,,,1,,,,4 5,,,1-2 years,Decreased,3,,3,,,,,,,,,,,,,
3443,AYE Finance,Manufacturing,Electrical and Electronic Units,Electricals and Electronics,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,3,0,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,1080,Yes full payment,Partial payment,No,No,,,No Loan,Somewhat confident,2,,> 6 months,No,,Did not find beneficial enough,,Male,Yes,,2,,6 8 -888,Mobile per game khela,,,,,,3,,,1,4,,,1-2 years,Decreased,4,,3,,,,,,,,,,,,,
3444,AYE Finance,Manufacturing,Auto Parts,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,10,2,12,,,,Y,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,Partial payment,Partial payment,No,No,,,Yes,Fully confident,2,,4-6 months,Do not know any,,,,Male,Yes,,0,,6 8,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
3446,AYE Finance,Manufacturing,MACHINERY WORK-MANF,Machinery Work,5,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,0,2,2,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,17000,Partial payment,No,No,No,,,Yes,Somewhat confident,2,,0-3 months,Yes,Bank se,,,Male,No,40,0,,6 8,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
3447,AYE Finance,Manufacturing,Auto Parts,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,2,2,4,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,No,,Partial payment,Partial payment,No,No,,,Yes,Somewhat confident,2,,0-3 months,No,,Requirements not fulfilled,,Male,Yes,,0,,6 8,,,,,,,2,,,,4,,,2-3 years,Remained the same,4,,1 3,,,,,,,,,,,,,
3448,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,2,1,3,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,Yes,Yes,1 2,No,,No,No,No,No,,,Yes,Fully confident,2,,> 6 months,Yes,Government agar degi to le lenge.,,,Male,No,50,0,,6 8,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
3449,AYE Finance,Manufacturing,OTHERS - MANF,Others,14,New Delhi,Delhi,North India,Yes,Male,Home based business,,Non Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Worse than expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,No,No,No,No,,,Yes,Not confident,2,,Uncertain,Yes,Bank me,,,Male,No,80,2 4,,6 8,,,,,,,1,,,,4,,,1-2 years,Increased,4,,3 4,,,,,,,,,,,,,
3450,AYE Finance,Manufacturing,FOOTWEAR-MANF,Footwear Manufacturing,15,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,7,2,9,,,Y,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,Yes,40000,Yes full payment,No,No,Yes,1,4,Yes,Somewhat confident,2,,4-6 months,Yes,Government ki or se,,,Male,No,60,2 4,,6 8,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
3452,AYE Finance,Manufacturing,MACHINERY WORK-MANF,Machinery Work,8,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,0,0,0,Y,,,,,,,Better than expected,,,,Enough to survive 3 months or more,,Yes,Yes,2,Yes,40000,No,No,No,No,,,Yes,Fully confident,2,,0-3 months,No,,Did not find beneficial enough,,Male,No,40,4,,6 8,,,,,,,2,,,,7,,,,,,,,,,,,,,,,,,,,
3455,AYE Finance,Manufacturing,MACHINERY WORK-MANF,Machinery Work,8,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,Yes,Fully Shut,,,8,3,11,,,,Y,,,,Better than expected,,,,Don't have any cash reserves,,No,,,Yes,100000,Partial payment,Partial payment,No,No,,,Yes,Fully confident,2,,4-6 months,Yes,Bank se,,,Male,No,40,1 4,,2 6 8,,,3,,,,2,,,,4,,,1-2 years,Increased,3 -888,,1 3,,,,,,,,,,,,,
3456,AYE Finance,Manufacturing,OTHERS - MANF,Others,22,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,6,4,10,,,,Y,,,,Better than expected,,,,Enough to survive 2 months,,No,,,Yes,200000,Partial payment,Partial payment,No,No,,,Yes,Fully confident,2,,4-6 months,Yes,Bank Se,,,Male,Yes,,0,,2 6 8,,,3,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,
3457,AYE Finance,Manufacturing,Ready-made garments,Ready-made garments,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Non Essential,Non Essential,No,Fully Shut,,,4,3,7,,,Y,,,,,Worse than expected,,,,Don't have any cash reserves,,No,,,Yes,10000,Partial payment,No,No,No,,,Yes,Somewhat confident,2,,0-3 months,Do not know any,,,,Male,Yes,,2 4,,2 8,,,1,,,,,,,,4,,,2-3 years,Increased,3 4,,3,,,,,,,,,,,,,
3458,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,12,New Delhi,Delhi,North India,Yes,Male,Fixed Store/ Shop,,Essential,Non Essential,No,Fully Shut,,,13,0,13,,,,Y,,,,Better than expected,,,,Enough to survive 1 month,,No,,,No,,Partial payment,Partial payment,No,No,,,Yes,Somewhat confident,2,,0-3 months,No,,Did not find beneficial enough,,Male,No,50,2,,1 2 6 8,,4,3,,,,2,,,,4,,,2-3 years,Decreased,3 4,,1 3,,,,,,,,,,,,,
3461,AYE Finance,Manufacturing,Leather and Leather Based,Leather and Leather Based,8,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,Yes,Fully Shut,,,4,0,4,,Y,,,,,,Same as expected,,,,Don't have any cash reserves,,No,,,No,,No,No,No,No,,,Yes,Somewhat confident,2 7,,> 6 months,Yes,Bank se,,,Male,Yes,,2 4,,4 6 8,,,,,2,,3,,,,7,,,,,,,,,,,,,,,,,,,,
3462,AYE Finance,Manufacturing,Metal Based,Auto Parts and Metal Works,15,New Delhi,Delhi,North India,Yes,Male,Small manufacturing plant,,Essential,Non Essential,No,Fully Shut,,,3,0,3,,Y,,,,,,Better than expected,,,,Don't have any cash reserves,,Yes,Yes,2,No,,Yes full payment,No,No,Yes,0,2,Yes,Fully confident,2,,4-6 months,Do not know any,,,,Male,Yes,,2 4,,2 6,,,1,,,,2,,,,4,,,6-12 months,Do Not Know,4,,3,,,,,,,,,,,,,
